cumpop,L_utci_mean,L_tsd,L_hdh
0.0008116424006851769,0.0007600763325855834,0.000445980499029716,0.0005172619416489704
0.0008126176994122282,0.0007609951628549933,0.000446551488338403,0.0005179179254126927
0.0008136424247784143,0.0007619605580289732,0.000447151414506872,0.0005186071534244268
0.0008147076616193674,0.0007629641191189355,0.00044777505814602914,0.0005193236293643644
0.0008157833041866108,0.0007639774834579184,0.0004484047938247801,0.0005200471041727584
0.0008167955842103562,0.0007649311538577028,0.00044899743385898126,0.0005207279614747308
0.0008177573292231805,0.0007658372151543363,0.00044956048813637783,0.0005213748290402828
0.0008187179514547736,0.0007667422186772308,0.0004501228850807325,0.0005220209414256655
0.0008208394980777229,0.0007687409306626591,0.00045136494600625776,0.000523447888985458
0.0008229610338256195,0.0007707396324026852,0.00045260700056497596,0.0005248748292307141
0.0008250715505622174,0.0007727279531170427,0.00045384260403597167,0.0005262943581133756
0.0008263701104372788,0.0007739513281576881,0.00045460284680547846,0.0005271677666092904
0.0008277184925994892,0.0007752216408434405,0.00045539225806716854,0.0005280746854651953
0.0008288490139456133,0.0007762867065553311,0.0004560541225646553,0.0005288350716187187
0.0008300503301861558,0.0007774184682344236,0.00045675743398163586,0.0005296430742614314
0.000831262491980905,0.0007785604475250202,0.0004574670949357654,0.0005304583715998827
0.0008324119143726807,0.000779643319937962,0.0004581400250633926,0.0005312314705548495
0.0008335838505706129,0.0007807474026385855,0.0004588261359142759,0.0005320197122459735
0.0008348520285388261,0.0007819421548430881,0.0004595685915755802,0.000532872685938632
0.0008362647427554907,0.0007832730748456412,0.0004603956660826743,0.00053382287439188
0.0008376698578930819,0.0007845968357453692,0.000461218291703713,0.0005347679517213737
0.0008386799064239643,0.0007855484038526646,0.00046180962530888696,0.0005354473081261888
0.0008396389291391996,0.0007864519004690029,0.00046237108581529286,0.0005360923446804119
0.0008407184524690303,0.0007874689208797459,0.00046300309348916224,0.0005368184296811268
0.0008428560368042014,0.000789482742015871,0.00046425454370430775,0.0005382561641706394
0.0008449849079111411,0.0007914883544077201,0.00046550089275400883,0.0005396880381621416
0.0008471111222426848,0.000793491463847822,0.0004667456863927322,0.0005411181252123967
0.0008484850878306392,0.0007947858787140825,0.0004675500754885712,0.0005420422514237947
0.0008498382518894983,0.0007960606964312311,0.0004683422863149341,0.0005429523865727945
0.0008509144055162537,0.0007970745422400815,0.0004689723211938269,0.0005436762051186842
0.0008520724970922971,0.0007981655819034209,0.0004696503267013296,0.0005444551349477887
0.0008532218395524348,0.000799248379012657,0.00047032321003292457,0.0005452281801409127
0.0008543569405192258,0.0008003177591914638,0.0004709877556724718,0.0005459916465371539
0.0008558281615683189,0.0008017037985611521,0.0004718490830447397,0.0005469811865563123
0.0008572996792344768,0.0008030901173741842,0.0004727105840716716,0.0005479709260794516
0.000858780535988154,0.0008044852345543866,0.0004735775526737973,0.000548966947052172
0.0008603060760227854,0.0008059224479149065,0.0004744706811334048,0.000549993021900698
0.0008618654796124151,0.0008073915641770698,0.0004753836350345122,0.0005510418733013145
0.0008634395093324146,0.00080887445973673,0.0004763051518136763,0.0005521005622048238
0.0008649978625278832,0.0008103425864211124,0.00047721749076080173,0.0005531487071126541
